Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,OxygenTanks,PopulationDensityPerSqKm
46,2020-03-05,6:00 PM,Delhi,2,0,0,0,2,6707,694
47,2020-03-05,6:00 PM,Haryana,0,2,0,0,2,7631,554
48,2020-03-05,6:00 PM,Kerala,3,0,3,0,3,1084,352
49,2020-03-05,6:00 PM,Rajasthan,1,14,0,0,15,3432,509
50,2020-03-05,6:00 PM,Telengana,1,0,0,0,1,4186,361
51,2020-03-05,6:00 PM,Uttar Pradesh,7,0,0,0,7,7210,887
52,2020-03-06,6:00 PM,Delhi,3,0,0,0,3,9016,562
53,2020-03-06,6:00 PM,Haryana,0,2,0,0,2,4881,369
54,2020-03-06,6:00 PM,Kerala,3,0,3,0,3,5182,811
55,2020-03-06,6:00 PM,Rajasthan,1,14,0,0,15,2644,657
56,2020-03-06,6:00 PM,Uttar Pradesh,7,0,0,0,7,3585,826
57,2020-03-06,6:00 PM,Telengana,1,0,0,0,1,4475,781
58,2020-03-07,6:00 PM,Kerala,3,0,3,0,3,2131,309
59,2020-03-07,6:00 PM,Uttar Pradesh,7,0,0,0,7,7852,358
60,2020-03-07,6:00 PM,Ladakh,2,0,0,0,2,2289,746
61,2020-03-07,6:00 PM,Telengana,1,0,0,0,1,8672,573
62,2020-03-07,6:00 PM,Tamil Nadu,1,0,0,0,1,2800,645
63,2020-03-07,6:00 PM,Delhi,3,0,0,0,3,4154,865
64,2020-03-07,6:00 PM,Haryana,0,2,0,0,2,867,261
65,2020-03-07,6:00 PM,Rajasthan,1,14,0,0,15,3908,850
66,2020-03-08,6:00 PM,Ladakh,2,0,0,0,2,1685,446
67,2020-03-08,6:00 PM,Telengana,1,0,0,0,1,2443,543
68,2020-03-08,6:00 PM,Tamil Nadu,1,0,0,0,1,3382,679
69,2020-03-08,6:00 PM,Rajasthan,1,14,0,0,15,6065,295
70,2020-03-08,6:00 PM,Kerala,8,0,3,0,8,7202,395
71,2020-03-08,6:00 PM,Haryana,0,2,0,0,2,9545,490
72,2020-03-08,6:00 PM,Delhi,3,0,0,0,3,8686,45
73,2020-03-08,6:00 PM,Uttar Pradesh,7,0,0,0,7,3949,607
74,2020-03-09,6:00 PM,Ladakh,2,0,0,0,2,9814,654
75,2020-03-09,6:00 PM,Karnataka,1,0,0,0,1,3870,462
76,2020-03-09,6:00 PM,Kerala,9,0,3,0,9,4874,520
77,2020-03-09,6:00 PM,Maharashtra,2,0,0,0,2,8728,523
78,2020-03-09,6:00 PM,Punjab,1,0,0,0,1,1619,529
79,2020-03-09,6:00 PM,Rajasthan,1,14,0,0,15,7821,312
80,2020-03-09,6:00 PM,Tamil Nadu,1,0,0,0,1,2668,831
81,2020-03-09,6:00 PM,Telengana,1,0,0,0,1,3494,428
82,2020-03-09,6:00 PM,Jammu and Kashmir,1,0,0,0,1,6575,606
83,2020-03-09,6:00 PM,Uttar Pradesh,7,0,0,0,7,2323,538
84,2020-03-09,6:00 PM,Haryana,0,2,0,0,2,463,436
85,2020-03-09,6:00 PM,Delhi,4,0,0,0,4,9365,496
86,2020-03-10,6:00 PM,Uttar Pradesh,7,0,0,0,7,9982,591
87,2020-03-10,6:00 PM,Ladakh,2,0,0,0,2,3765,643
88,2020-03-10,6:00 PM,Delhi,4,0,0,0,4,8832,447
89,2020-03-10,6:00 PM,Haryana,0,2,0,0,2,2469,735
90,2020-03-10,6:00 PM,Karnataka,4,0,0,0,4,9789,494
91,2020-03-10,6:00 PM,Kerala,15,0,3,0,15,1206,376
92,2020-03-10,6:00 PM,Maharashtra,5,0,0,0,5,6084,121
93,2020-03-10,6:00 PM,Punjab,1,0,0,0,1,1299,440
94,2020-03-10,6:00 PM,Rajasthan,1,14,0,0,15,8314,639
95,2020-03-10,6:00 PM,Tamil Nadu,1,0,0,0,1,7994,608
96,2020-03-10,6:00 PM,Telengana,1,0,0,0,1,2749,485
97,2020-03-10,6:00 PM,Jammu and Kashmir,1,0,0,0,1,2590,284
98,2020-03-11,6:00 PM,Maharashtra,2,0,0,0,2,3576,496
99,2020-03-11,6:00 PM,Delhi,5,0,0,0,5,5724,100
100,2020-03-11,6:00 PM,Haryana,0,14,0,0,14,6725,693
101,2020-03-11,6:00 PM,Kerala,17,0,3,0,17,1723,815
102,2020-03-11,6:00 PM,Rajasthan,1,2,0,0,3,5836,651
103,2020-03-11,6:00 PM,Telengana,1,0,0,0,1,9801,669
104,2020-03-11,6:00 PM,Uttar Pradesh,9,0,0,0,9,4112,357
105,2020-03-11,6:00 PM,Ladakh,2,0,0,0,2,2699,647
106,2020-03-11,6:00 PM,Tamil Nadu,1,0,0,0,1,4594,949
107,2020-03-11,6:00 PM,Jammu and Kashmir,1,0,0,0,1,3821,667
108,2020-03-11,6:00 PM,Punjab,1,0,0,0,1,7176,479
109,2020-03-11,6:00 PM,Karnataka,4,0,0,0,4,5673,568
110,2020-03-12,6:00 PM,Delhi,6,0,0,0,6,3122,561
111,2020-03-12,6:00 PM,Haryana,0,14,0,0,14,2816,896
112,2020-03-12,6:00 PM,Kerala,17,0,3,0,17,394,542
113,2020-03-12,6:00 PM,Rajasthan,1,2,0,0,3,6880,805
114,2020-03-12,6:00 PM,Telengana,1,0,0,0,1,7986,552
115,2020-03-12,6:00 PM,Uttar Pradesh,10,1,0,0,11,3362,667
116,2020-03-12,6:00 PM,Ladakh,3,0,0,0,3,3347,357
117,2020-03-12,6:00 PM,Tamil Nadu,1,0,0,0,1,1532,543
118,2020-03-12,6:00 PM,Jammu and Kashmir,1,0,0,0,1,4561,500
119,2020-03-12,6:00 PM,Punjab,1,0,0,0,1,8732,537
120,2020-03-12,6:00 PM,Karnataka,4,0,0,0,4,385,479
121,2020-03-12,6:00 PM,Maharashtra,11,0,0,0,11,6315,1
122,2020-03-12,6:00 PM,Andhra Pradesh,1,0,0,0,1,742,513
123,2020-03-13,6:00 PM,Delhi,6,0,0,0,6,7649,139
124,2020-03-13,6:00 PM,Haryana,0,14,0,0,14,2099,774
125,2020-03-13,6:00 PM,Kerala,19,0,3,0,19,254,313
126,2020-03-13,6:00 PM,Rajasthan,1,2,0,0,3,1434,310
127,2020-03-13,6:00 PM,Telengana,1,0,0,0,1,2641,322
128,2020-03-13,6:00 PM,Uttar Pradesh,10,1,0,0,11,8120,267
129,2020-03-13,6:00 PM,Ladakh,3,0,0,0,3,2792,564
130,2020-03-13,6:00 PM,Tamil Nadu,1,0,0,0,1,3417,367
131,2020-03-13,6:00 PM,Jammu and Kashmir,1,0,0,0,1,8368,420
132,2020-03-13,6:00 PM,Punjab,1,0,0,0,1,7695,270
133,2020-03-13,6:00 PM,Karnataka,6,0,0,1,6,3862,624
134,2020-03-13,6:00 PM,Maharashtra,14,0,0,0,14,3063,528
135,2020-03-13,6:00 PM,Andhra Pradesh,1,0,0,0,1,4502,662
136,2020-03-14,6:00 PM,Delhi,7,0,1,1,7,7745,613
137,2020-03-14,6:00 PM,Haryana,0,14,0,0,14,3896,790
138,2020-03-14,6:00 PM,Kerala,19,0,3,0,19,693,801
139,2020-03-14,6:00 PM,Rajasthan,1,2,1,0,3,9801,335
140,2020-03-14,6:00 PM,Telengana,1,0,0,0,1,9921,561
141,2020-03-14,6:00 PM,Uttar Pradesh,11,1,5,0,12,4552,470
142,2020-03-14,6:00 PM,Ladakh,3,0,0,0,3,983,444
143,2020-03-14,6:00 PM,Tamil Nadu,1,0,0,0,1,3190,548
144,2020-03-14,6:00 PM,Jammu and Kashmir,2,0,0,0,2,7646,570
145,2020-03-14,6:00 PM,Punjab,1,0,0,0,1,4671,101
146,2020-03-14,6:00 PM,Karnataka,6,0,0,1,6,9102,488
147,2020-03-14,6:00 PM,Maharashtra,14,0,0,0,14,246,272
148,2020-03-14,6:00 PM,Andhra Pradesh,1,0,0,0,1,1815,458
149,2020-03-15,6:00 PM,Andhra Pradesh,1,0,0,0,1,996,128
150,2020-03-15,6:00 PM,Delhi,7,0,2,1,7,7801,557
151,2020-03-15,6:00 PM,Haryana,0,14,0,0,14,4357,734
152,2020-03-15,6:00 PM,Karnataka,6,0,0,1,6,6278,720
153,2020-03-15,6:00 PM,Kerala,22,0,3,0,22,7730,463
154,2020-03-15,6:00 PM,Maharashtra,32,0,0,0,32,4189,569
155,2020-03-15,6:00 PM,Punjab,1,0,0,0,1,6329,578
156,2020-03-15,6:00 PM,Rajasthan,2,2,3,0,4,3534,448
157,2020-03-15,6:00 PM,Tamil Nadu,1,0,0,0,1,9061,442
158,2020-03-15,6:00 PM,Telengana,3,0,1,0,3,3663,428
159,2020-03-15,6:00 PM,Jammu and Kashmir,2,0,0,0,2,8011,630
160,2020-03-15,6:00 PM,Ladakh,3,0,0,0,3,5257,340
161,2020-03-15,6:00 PM,Uttar Pradesh,12,1,4,0,13,9000,397
162,2020-03-15,6:00 PM,Uttarakhand,1,0,0,0,1,5476,425
163,2020-03-16,6:00 PM,Andhra Pradesh,1,0,0,0,1,8300,639
164,2020-03-16,6:00 PM,Delhi,7,0,2,1,7,4214,654
165,2020-03-16,6:00 PM,Haryana,0,14,0,0,14,472,466
166,2020-03-16,6:00 PM,Karnataka,6,0,0,1,6,7457,472
167,2020-03-16,6:00 PM,Kerala,23,0,3,0,23,7646,379
168,2020-03-16,6:00 PM,Maharashtra,32,0,0,0,32,3253,392
169,2020-03-16,6:00 PM,Odisha,1,0,0,0,1,3876,1013
170,2020-03-16,6:00 PM,Punjab,1,0,0,0,1,7423,205
171,2020-03-16,6:00 PM,Rajasthan,2,2,3,0,4,3830,424
172,2020-03-16,6:00 PM,Tamil Nadu,1,0,0,0,1,4514,542
173,2020-03-16,6:00 PM,Telengana,3,0,1,0,3,6003,706
174,2020-03-16,6:00 PM,Jammu and Kashmir,3,0,0,0,3,5007,643
175,2020-03-16,6:00 PM,Ladakh,4,0,0,0,4,7757,440
176,2020-03-16,6:00 PM,Uttar Pradesh,12,1,4,0,13,3845,170
177,2020-03-16,6:00 PM,Uttarakhand,1,0,0,0,1,3327,426
178,2020-03-17,6:00 PM,Andhra Pradesh,1,0,0,0,1,1712,482
179,2020-03-17,6:00 PM,Delhi,8,0,2,1,8,6909,287
180,2020-03-17,6:00 PM,Haryana,1,14,0,0,15,6726,720
181,2020-03-17,6:00 PM,Karnataka,11,0,0,1,11,2492,697
182,2020-03-17,6:00 PM,Kerala,24,2,3,0,26,5746,595
183,2020-03-17,6:00 PM,Maharashtra,36,3,0,1,39,7797,434
184,2020-03-17,6:00 PM,Odisha,1,0,0,0,1,5355,577
185,2020-03-17,6:00 PM,Punjab,1,0,0,0,1,4154,469
186,2020-03-17,6:00 PM,Rajasthan,2,2,3,0,4,5623,649
187,2020-03-17,6:00 PM,Tamil Nadu,1,0,0,0,1,4775,230
188,2020-03-17,6:00 PM,Telengana,3,2,1,0,5,3403,441
189,2020-03-17,6:00 PM,Jammu and Kashmir,3,0,0,0,3,2598,671
190,2020-03-17,6:00 PM,Ladakh,6,0,0,0,6,1910,836
191,2020-03-17,6:00 PM,Uttar Pradesh,14,1,5,0,15,9099,575
192,2020-03-17,6:00 PM,Uttarakhand,1,0,0,0,1,3407,546
193,2020-03-18,6:00 PM,Andhra Pradesh,1,0,0,0,1,6571,462
194,2020-03-18,6:00 PM,Delhi,9,1,2,1,10,8741,467
195,2020-03-18,6:00 PM,Haryana,3,14,0,0,17,1813,513
196,2020-03-18,6:00 PM,Karnataka,11,0,0,1,11,5291,721
197,2020-03-18,6:00 PM,Kerala,25,2,3,0,27,4992,244
198,2020-03-18,6:00 PM,Maharashtra,39,3,0,1,42,1811,580
199,2020-03-18,6:00 PM,Odisha,1,0,0,0,1,1028,501
200,2020-03-18,6:00 PM,Puducherry,1,0,0,0,1,3383,854
201,2020-03-18,6:00 PM,Punjab,1,0,0,0,1,4814,356
202,2020-03-18,6:00 PM,Rajasthan,2,2,3,0,4,6314,766
203,2020-03-18,6:00 PM,Tamil Nadu,1,0,0,0,1,8364,605
204,2020-03-18,6:00 PM,Telengana,4,2,1,0,6,438,490
205,2020-03-18,6:00 PM,Jammu and Kashmir,3,0,0,0,3,377,834
206,2020-03-18,6:00 PM,Ladakh,8,0,0,0,8,5477,603
207,2020-03-18,6:00 PM,Uttar Pradesh,15,1,5,0,16,7344,759
208,2020-03-18,6:00 PM,Uttarakhand,1,0,0,0,1,9125,1004
209,2020-03-18,6:00 PM,West Bengal,1,0,0,0,1,9003,662
210,2020-03-19,6:00 PM,Andhra Pradesh,2,0,0,0,2,9527,260
211,2020-03-19,6:00 PM,Chhattisgarh,1,0,0,0,1,8277,-7
212,2020-03-19,6:00 PM,Delhi,11,1,3,1,12,8385,331
213,2020-03-19,6:00 PM,Haryana,3,14,0,0,17,2859,605
214,2020-03-19,6:00 PM,Karnataka,14,0,0,1,14,8297,300
215,2020-03-19,6:00 PM,Kerala,25,2,3,0,27,6159,412
216,2020-03-19,6:00 PM,Maharashtra,44,3,0,1,47,4983,571
217,2020-03-19,6:00 PM,Odisha,1,0,0,0,1,5965,693
218,2020-03-19,6:00 PM,Puducherry,1,0,0,0,1,1338,527
219,2020-03-19,6:00 PM,Punjab,2,0,0,1,2,7765,182
220,2020-03-19,6:00 PM,Rajasthan,5,2,3,0,7,7532,439
221,2020-03-19,6:00 PM,Tamil Nadu,2,0,1,0,2,4742,534
222,2020-03-19,6:00 PM,Telengana,4,2,1,0,6,8101,383
223,2020-03-19,6:00 PM,Chandigarh,1,0,0,0,1,3400,452
224,2020-03-19,6:00 PM,Jammu and Kashmir,4,0,0,0,4,2483,1091
225,2020-03-19,6:00 PM,Ladakh,8,0,0,0,8,1303,382
226,2020-03-19,6:00 PM,Uttar Pradesh,18,1,9,0,19,6408,427
227,2020-03-19,6:00 PM,Uttarakhand,1,0,0,0,1,8380,352
228,2020-03-19,6:00 PM,West Bengal,1,0,0,0,1,2190,796
229,2020-03-20,6:00 PM,Andhra Pradesh,3,0,0,0,3,9203,486
230,2020-03-20,6:00 PM,Chhattisgarh,1,0,0,0,1,8692,492
231,2020-03-20,6:00 PM,Delhi,16,1,5,1,17,8737,456
232,2020-03-20,6:00 PM,Gujarat,5,0,0,0,5,4982,553
233,2020-03-20,6:00 PM,Haryana,3,14,0,0,17,7103,666
234,2020-03-20,6:00 PM,Karnataka,15,0,1,1,15,8351,548
235,2020-03-20,6:00 PM,Kerala,26,2,3,0,28,7993,574
236,2020-03-20,6:00 PM,Maharashtra,49,3,0,1,52,7704,1025
237,2020-03-20,6:00 PM,Odisha,2,0,0,0,2,912,424
238,2020-03-20,6:00 PM,Puducherry,1,0,0,0,1,6307,624
239,2020-03-20,6:00 PM,Punjab,2,0,0,1,2,7114,533
240,2020-03-20,6:00 PM,Rajasthan,15,2,3,0,17,3425,239
241,2020-03-20,6:00 PM,Tamil Nadu,3,0,1,0,3,2030,686
242,2020-03-20,6:00 PM,Telengana,8,9,1,0,17,6213,385
243,2020-03-20,6:00 PM,Chandigarh,1,0,0,0,1,6963,531
244,2020-03-20,6:00 PM,Jammu and Kashmir,4,0,0,0,4,6440,590
245,2020-03-20,6:00 PM,Ladakh,10,0,0,0,10,840,105
246,2020-03-20,6:00 PM,Uttar Pradesh,22,1,9,0,23,6907,791
247,2020-03-20,6:00 PM,Uttarakhand,3,0,0,0,3,5790,565
248,2020-03-20,6:00 PM,West Bengal,2,0,0,0,2,5737,514
249,2020-03-21,6:00 PM,Andhra Pradesh,3,0,0,0,3,5249,849
250,2020-03-21,6:00 PM,Chhattisgarh,1,0,0,0,1,8793,387
251,2020-03-21,6:00 PM,Delhi,25,1,5,1,26,5040,332
252,2020-03-21,6:00 PM,Gujarat,7,0,0,0,7,6365,31
253,2020-03-21,6:00 PM,Haryana,3,14,0,0,17,5807,926
254,2020-03-21,6:00 PM,Himachal Pradesh,2,0,0,0,2,618,426
255,2020-03-21,6:00 PM,Karnataka,15,0,1,1,15,3753,349
256,2020-03-21,6:00 PM,Kerala,33,7,3,0,40,1274,394
257,2020-03-21,6:00 PM,Madhya Pradesh,4,0,0,0,4,8477,348
258,2020-03-21,6:00 PM,Maharashtra,60,3,0,1,63,9893,841
259,2020-03-21,6:00 PM,Odisha,2,0,0,0,2,3928,612
260,2020-03-21,6:00 PM,Puducherry,1,0,0,0,1,5879,558
261,2020-03-21,6:00 PM,Punjab,13,0,0,1,13,6173,617
262,2020-03-21,6:00 PM,Rajasthan,15,2,3,0,17,4248,492
263,2020-03-21,6:00 PM,Tamil Nadu,3,0,1,0,3,2620,655
264,2020-03-21,6:00 PM,Telengana,10,11,1,0,21,1987,438
265,2020-03-21,6:00 PM,Chandigarh,1,0,0,0,1,9918,752
266,2020-03-21,6:00 PM,Jammu and Kashmir,4,0,0,0,4,6538,272
267,2020-03-21,6:00 PM,Ladakh,13,0,0,0,13,5800,372
268,2020-03-21,6:00 PM,Uttar Pradesh,23,1,9,0,24,486,608
269,2020-03-21,6:00 PM,Uttarakhand,3,0,0,0,3,9868,646
270,2020-03-21,6:00 PM,West Bengal,3,0,0,0,3,5303,717
271,2020-03-22,6:00 PM,Andhra Pradesh,5,0,0,0,5,7970,446
272,2020-03-22,6:00 PM,Bihar,2,0,0,1,2,2945,592
273,2020-03-22,6:00 PM,Chhattisgarh,1,0,0,0,1,4071,283
274,2020-03-22,6:00 PM,Delhi,28,1,5,1,29,9042,350
275,2020-03-22,6:00 PM,Gujarat,18,0,0,1,18,6156,673
276,2020-03-22,6:00 PM,Haryana,7,14,0,0,21,8045,755
277,2020-03-22,6:00 PM,Himachal Pradesh,2,0,0,0,2,7180,202
278,2020-03-22,6:00 PM,Karnataka,26,0,2,1,26,2966,172
279,2020-03-22,6:00 PM,Kerala,45,7,3,0,52,9059,561
280,2020-03-22,6:00 PM,Madhya Pradesh,4,0,0,0,4,3696,361
281,2020-03-22,6:00 PM,Maharashtra,64,3,0,2,67,3624,841
282,2020-03-22,6:00 PM,Odisha,2,0,0,0,2,7774,529
283,2020-03-22,6:00 PM,Puducherry,1,0,0,0,1,8400,759
284,2020-03-22,6:00 PM,Punjab,21,0,0,1,21,6905,722
285,2020-03-22,6:00 PM,Rajasthan,22,2,3,0,24,1797,360
286,2020-03-22,6:00 PM,Tamil Nadu,5,2,1,0,7,6998,177
287,2020-03-22,6:00 PM,Telengana,11,11,1,0,22,1713,535
288,2020-03-22,6:00 PM,Chandigarh,5,0,0,0,5,2026,447
289,2020-03-22,6:00 PM,Jammu and Kashmir,4,0,0,0,4,2945,296
290,2020-03-22,6:00 PM,Ladakh,13,0,0,0,13,5727,908
291,2020-03-22,6:00 PM,Uttar Pradesh,26,1,9,0,27,5978,663
292,2020-03-22,6:00 PM,Uttarakhand,3,0,0,0,3,5931,699
293,2020-03-22,6:00 PM,West Bengal,4,0,0,0,4,6504,768
294,2020-03-23,6:00 PM,Andhra Pradesh,7,0,0,0,7,1783,351
295,2020-03-23,6:00 PM,Bihar,2,0,0,1,2,493,-17
296,2020-03-23,6:00 PM,Chhattisgarh,1,0,0,0,1,2315,720
297,2020-03-23,6:00 PM,Delhi,28,1,5,1,29,4832,418
298,2020-03-23,6:00 PM,Gujarat,29,0,0,1,29,5379,249
299,2020-03-23,6:00 PM,Haryana,12,14,0,0,26,552,345
300,2020-03-23,6:00 PM,Himachal Pradesh,2,0,0,0,2,6353,371
301,2020-03-23,6:00 PM,Karnataka,33,0,2,1,33,7008,313
302,2020-03-23,6:00 PM,Kerala,60,7,3,0,67,5328,460
303,2020-03-23,6:00 PM,Madhya Pradesh,6,0,0,0,6,3036,438
304,2020-03-23,6:00 PM,Maharashtra,71,3,0,2,74,2375,180
305,2020-03-23,6:00 PM,Odisha,2,0,0,0,2,2806,544
306,2020-03-23,6:00 PM,Puducherry,1,0,0,0,1,7299,282
307,2020-03-23,6:00 PM,Punjab,21,0,0,1,21,2334,924
308,2020-03-23,6:00 PM,Rajasthan,26,2,3,0,28,7941,440
309,2020-03-23,6:00 PM,Tamil Nadu,7,2,1,0,9,8590,799
310,2020-03-23,6:00 PM,Telengana,22,10,1,0,32,6274,607
311,2020-03-23,6:00 PM,Chandigarh,6,0,0,0,6,2875,375
312,2020-03-23,6:00 PM,Jammu and Kashmir,4,0,0,0,4,6929,557
313,2020-03-23,6:00 PM,Ladakh,13,0,0,0,13,4419,204
314,2020-03-23,6:00 PM,Uttar Pradesh,30,1,9,0,31,7422,511
315,2020-03-23,6:00 PM,Uttarakhand,3,0,0,0,3,9669,601
316,2020-03-23,6:00 PM,West Bengal,7,0,0,0,7,4521,772
317,2020-03-24,6:00 PM,Andhra Pradesh,8,0,0,0,8,1229,553
318,2020-03-24,6:00 PM,Bihar,3,0,0,1,3,6942,257
319,2020-03-24,6:00 PM,Chhattisgarh,1,0,0,0,1,159,579
320,2020-03-24,6:00 PM,Delhi,29,1,6,1,30,4871,469
321,2020-03-24,6:00 PM,Gujarat,32,1,0,1,33,179,736
322,2020-03-24,6:00 PM,Haryana,14,14,11,0,28,2075,605
323,2020-03-24,6:00 PM,Himachal Pradesh,3,0,0,1,3,300,507
324,2020-03-24,6:00 PM,Karnataka,37,0,3,1,37,3514,457
325,2020-03-24,6:00 PM,Kerala,87,8,4,0,95,7701,839
326,2020-03-24,6:00 PM,Madhya Pradesh,7,0,0,0,7,1860,830
327,2020-03-24,6:00 PM,Maharashtra,86,3,0,2,89,8617,589
328,2020-03-24,6:00 PM,Manipur,1,0,0,0,1,5121,484
329,2020-03-24,6:00 PM,Odisha,2,0,0,0,2,2729,426
330,2020-03-24,6:00 PM,Puducherry,1,0,0,0,1,2423,262
331,2020-03-24,6:00 PM,Punjab,29,0,0,1,29,9856,497
332,2020-03-24,6:00 PM,Rajasthan,30,2,3,0,32,9911,545
333,2020-03-24,6:00 PM,Tamil Nadu,13,2,1,0,15,7083,709
334,2020-03-24,6:00 PM,Telengana,25,10,1,0,35,5743,669
335,2020-03-24,6:00 PM,Chandigarh,7,0,0,0,7,6742,757
336,2020-03-24,6:00 PM,Jammu and Kashmir,4,0,0,0,4,8569,525
337,2020-03-24,6:00 PM,Ladakh,13,0,0,0,13,6247,942
338,2020-03-24,6:00 PM,Uttar Pradesh,32,1,11,0,33,350,702
339,2020-03-24,6:00 PM,Uttarakhand,3,1,0,0,4,8347,694
340,2020-03-24,6:00 PM,West Bengal,9,0,0,1,9,2370,596
341,2020-03-25,6:00 PM,Andhra Pradesh,9,0,1,0,9,3083,599
342,2020-03-25,6:00 PM,Bihar,4,0,0,1,4,9744,383
343,2020-03-25,6:00 PM,Chhattisgarh,1,0,0,0,1,1423,569
344,2020-03-25,6:00 PM,Delhi,30,1,6,1,31,4284,357
345,2020-03-25,6:00 PM,Gujarat,37,1,0,1,38,957,698
346,2020-03-25,6:00 PM,Haryana,14,14,11,0,28,498,591
347,2020-03-25,6:00 PM,Himachal Pradesh,3,0,0,1,3,3362,406
348,2020-03-25,6:00 PM,Karnataka,41,0,3,1,41,1968,516
349,2020-03-25,6:00 PM,Kerala,101,8,4,0,109,6932,427
350,2020-03-25,6:00 PM,Madhya Pradesh,14,0,0,0,14,2115,275
351,2020-03-25,6:00 PM,Maharashtra,125,3,1,3,128,2486,674
352,2020-03-25,6:00 PM,Manipur,1,0,0,0,1,8051,521
353,2020-03-25,6:00 PM,Mizoram,1,0,0,0,1,9584,255
354,2020-03-25,6:00 PM,Odisha,2,0,0,0,2,5424,461
355,2020-03-25,6:00 PM,Puducherry,1,0,0,0,1,2004,840
356,2020-03-25,6:00 PM,Punjab,29,0,0,1,29,3480,576
357,2020-03-25,6:00 PM,Rajasthan,34,2,3,0,36,1884,395
358,2020-03-25,6:00 PM,Tamil Nadu,16,2,1,0,18,8500,425
359,2020-03-25,6:00 PM,Telengana,25,10,1,0,35,9368,380
360,2020-03-25,6:00 PM,Chandigarh,7,0,0,0,7,9886,309
361,2020-03-25,6:00 PM,Jammu and Kashmir,7,0,1,0,7,1166,509
362,2020-03-25,6:00 PM,Ladakh,13,0,0,0,13,95,692
363,2020-03-25,6:00 PM,Uttar Pradesh,36,1,11,0,37,1442,422
364,2020-03-25,6:00 PM,Uttarakhand,3,1,0,0,4,4487,911
365,2020-03-25,6:00 PM,West Bengal,9,0,0,1,9,2565,633
366,2020-03-26,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,1957,510
367,2020-03-26,6:00 PM,Andhra Pradesh,11,0,1,0,11,4180,522
