sno,state/unionterritory,confirmedindiannational,confirmedforeignnational,cured,deaths,confirmed,oxygentanks,populationdensitypersqkm,day,month,year,week,weekday_number,hour,am_pm,minute
23,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.5287057411482297,286,21,2,2020,8,4,6,1,0
24,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.34426885377075417,770,22,2,2020,8,5,6,1,0
25,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.2864572914582917,574,23,2,2020,8,6,6,1,0
26,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.07311462292458491,249,24,2,2020,9,0,6,1,0
27,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.005901180236047209,505,25,2,2020,9,1,6,1,0
28,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.7368473694738948,749,26,2,2020,9,2,6,1,0
29,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.6100220044008802,471,27,2,2020,9,3,6,1,0
30,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.5204040808161633,486,28,2,2020,9,4,6,1,0
31,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.45759151830366074,596,29,2,2020,9,5,6,1,0
32,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.7686537307461493,537,1,3,2020,9,6,6,1,0
33,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.2031406281256251,836,2,3,2020,10,0,6,1,0
34,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.33286657331466296,757,2,3,2020,10,0,6,1,0
35,10,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.9518903780756152,195,2,3,2020,10,0,6,1,0
36,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8962792558511703,429,3,3,2020,10,1,6,1,0
37,30,0.0,0.07142857142857142,0.0,0.0,1.8592710318879856e-07,0.5699139827965594,299,3,3,2020,10,1,6,1,0
38,18,0.01694915254237288,0.0,6.215850377022404e-07,0.0,5.577813095663957e-07,0.8251650330066014,586,3,3,2020,10,1,6,1,0
39,10,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.6113222644528906,640,3,3,2020,10,1,6,1,0
40,37,0.03389830508474576,0.0,0.0,0.0,1.1155626191327915e-06,0.09701940388077615,351,4,3,2020,10,2,6,1,0
41,18,0.01694915254237288,0.0,6.215850377022404e-07,0.0,5.577813095663957e-07,0.09251850370074015,582,4,3,2020,10,2,6,1,0
42,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.9880976195239048,612,4,3,2020,10,2,6,1,0
43,10,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.5692138427685537,606,4,3,2020,10,2,6,1,0
44,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8284656931386277,573,4,3,2020,10,2,6,1,0
45,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.5987197439487898,812,4,3,2020,10,2,6,1,0
46,10,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.6707341468293659,694,5,3,2020,10,3,6,1,0
47,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.7631526305261053,554,5,3,2020,10,3,6,1,0
48,18,0.01694915254237288,0.0,6.215850377022404e-07,0.0,5.577813095663957e-07,0.10832166433286657,352,5,3,2020,10,3,6,1,0
49,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.3431686337267454,509,5,3,2020,10,3,6,1,0
50,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.4185837167433487,361,5,3,2020,10,3,6,1,0
51,37,0.03954802259887005,0.0,0.0,0.0,1.30148972232159e-06,0.7210442088417683,887,5,3,2020,10,3,6,1,0
52,10,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.9016803360672134,562,6,3,2020,10,4,6,1,0
53,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.4880976195239048,369,6,3,2020,10,4,6,1,0
54,18,0.01694915254237288,0.0,6.215850377022404e-07,0.0,5.577813095663957e-07,0.5182036407281456,811,6,3,2020,10,4,6,1,0
55,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.26435287057411483,657,6,3,2020,10,4,6,1,0
56,37,0.03954802259887005,0.0,0.0,0.0,1.30148972232159e-06,0.3584716943388678,826,6,3,2020,10,4,6,1,0
57,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.4474894978995799,781,6,3,2020,10,4,6,1,0
58,18,0.01694915254237288,0.0,6.215850377022404e-07,0.0,5.577813095663957e-07,0.21304260852170434,309,7,3,2020,10,5,6,1,0
59,37,0.03954802259887005,0.0,0.0,0.0,1.30148972232159e-06,0.7852570514102821,358,7,3,2020,10,5,6,1,0
60,19,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.22884576915383076,746,7,3,2020,10,5,6,1,0
61,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8672734546909382,573,7,3,2020,10,5,6,1,0
62,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.27995599119823966,645,7,3,2020,10,5,6,1,0
63,10,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.4153830766153231,865,7,3,2020,10,5,6,1,0
64,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.08661732346469293,261,7,3,2020,10,5,6,1,0
65,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.3907781556311262,850,7,3,2020,10,5,6,1,0
66,19,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.16843368673734746,446,8,3,2020,10,6,6,1,0
67,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.24424884976995398,543,8,3,2020,10,6,6,1,0
68,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.33816763352670537,679,8,3,2020,10,6,6,1,0
69,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.6065213042608522,295,8,3,2020,10,6,6,1,0
70,18,0.04519774011299435,0.0,6.215850377022404e-07,0.0,1.4874168255103885e-06,0.720244048809762,395,8,3,2020,10,6,6,1,0
71,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.9545909181836367,490,8,3,2020,10,6,6,1,0
72,10,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.8686737347469494,45,8,3,2020,10,6,6,1,0
73,37,0.03954802259887005,0.0,0.0,0.0,1.30148972232159e-06,0.39487897579515907,607,8,3,2020,10,6,6,1,0
74,19,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.981496299259852,654,9,3,2020,11,0,6,1,0
75,17,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.3869773954790958,462,9,3,2020,11,0,6,1,0
76,18,0.05084745762711865,0.0,6.215850377022404e-07,0.0,1.673343928699187e-06,0.4873974794958992,520,9,3,2020,11,0,6,1,0
77,22,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.872874574914983,523,9,3,2020,11,0,6,1,0
78,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.16183236647329466,529,9,3,2020,11,0,6,1,0
79,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.7821564312862572,312,9,3,2020,11,0,6,1,0
80,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.26675335067013406,831,9,3,2020,11,0,6,1,0
81,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.34936987397479496,428,9,3,2020,11,0,6,1,0
82,15,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.6575315063012602,606,9,3,2020,11,0,6,1,0
83,37,0.03954802259887005,0.0,0.0,0.0,1.30148972232159e-06,0.23224644928985796,538,9,3,2020,11,0,6,1,0
84,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.04620924184836968,436,9,3,2020,11,0,6,1,0
85,10,0.022598870056497175,0.0,0.0,0.0,7.437084127551942e-07,0.9365873174634928,496,9,3,2020,11,0,6,1,0
86,37,0.03954802259887005,0.0,0.0,0.0,1.30148972232159e-06,0.9982996599319864,591,10,3,2020,11,1,6,1,0
87,19,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.37647529505901184,643,10,3,2020,11,1,6,1,0
88,10,0.022598870056497175,0.0,0.0,0.0,7.437084127551942e-07,0.8832766553310663,447,10,3,2020,11,1,6,1,0
89,13,0.0,0.14285714285714285,0.0,0.0,3.718542063775971e-07,0.2468493698739748,735,10,3,2020,11,1,6,1,0
90,17,0.022598870056497175,0.0,0.0,0.0,7.437084127551942e-07,0.978995799159832,494,10,3,2020,11,1,6,1,0
91,18,0.0847457627118644,0.0,6.215850377022404e-07,0.0,2.7889065478319784e-06,0.12052410482096419,376,10,3,2020,11,1,6,1,0
92,22,0.02824858757062147,0.0,0.0,0.0,9.296355159439927e-07,0.6084216843368674,121,10,3,2020,11,1,6,1,0
93,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.1298259651930386,440,10,3,2020,11,1,6,1,0
94,30,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.8314662932586517,639,10,3,2020,11,1,6,1,0
95,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.7994598919783957,608,10,3,2020,11,1,6,1,0
96,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.27485497099419887,485,10,3,2020,11,1,6,1,0
97,15,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.25895179035807164,284,10,3,2020,11,1,6,1,0
98,22,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.3575715143028606,496,11,3,2020,11,2,6,1,0
99,10,0.02824858757062147,0.0,0.0,0.0,9.296355159439927e-07,0.5724144828965794,100,11,3,2020,11,2,6,1,0
100,13,0.0,1.0,0.0,0.0,2.60297944464318e-06,0.6725345069013803,693,11,3,2020,11,2,6,1,0
101,18,0.096045197740113,0.0,6.215850377022404e-07,0.0,3.1607607542095755e-06,0.17223444688937786,815,11,3,2020,11,2,6,1,0
102,30,0.005649717514124294,0.14285714285714285,0.0,0.0,5.577813095663957e-07,0.583616723344669,651,11,3,2020,11,2,6,1,0
103,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.9801960392078416,669,11,3,2020,11,2,6,1,0
104,37,0.05084745762711865,0.0,0.0,0.0,1.673343928699187e-06,0.41118223644728946,357,11,3,2020,11,2,6,1,0
105,19,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.26985397079415885,647,11,3,2020,11,2,6,1,0
106,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.45939187837567513,949,11,3,2020,11,2,6,1,0
107,15,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.38207641528305664,667,11,3,2020,11,2,6,1,0
108,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.7176435287057412,479,11,3,2020,11,2,6,1,0
109,17,0.022598870056497175,0.0,0.0,0.0,7.437084127551942e-07,0.5673134626925386,568,11,3,2020,11,2,6,1,0
110,10,0.03389830508474576,0.0,0.0,0.0,1.1155626191327915e-06,0.31216243248649733,561,12,3,2020,11,3,6,1,0
111,13,0.0,1.0,0.0,0.0,2.60297944464318e-06,0.28155631126225245,896,12,3,2020,11,3,6,1,0
112,18,0.096045197740113,0.0,6.215850377022404e-07,0.0,3.1607607542095755e-06,0.039307861572314466,542,12,3,2020,11,3,6,1,0
113,30,0.005649717514124294,0.14285714285714285,0.0,0.0,5.577813095663957e-07,0.6880376075215043,805,12,3,2020,11,3,6,1,0
114,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.7986597319463893,552,12,3,2020,11,3,6,1,0
115,37,0.05649717514124294,0.07142857142857142,0.0,0.0,2.045198135076784e-06,0.33616723344668936,667,12,3,2020,11,3,6,1,0
116,19,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.33466693338667736,357,12,3,2020,11,3,6,1,0
117,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.15313062612522504,543,12,3,2020,11,3,6,1,0
118,15,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.45609121824364873,500,12,3,2020,11,3,6,1,0
119,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8732746549309862,537,12,3,2020,11,3,6,1,0
120,17,0.022598870056497175,0.0,0.0,0.0,7.437084127551942e-07,0.03840768153630726,479,12,3,2020,11,3,6,1,0
121,22,0.06214689265536723,0.0,0.0,0.0,2.045198135076784e-06,0.6315263052610522,1,12,3,2020,11,3,6,1,0
122,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.07411482296459292,513,12,3,2020,11,3,6,1,0
123,10,0.03389830508474576,0.0,0.0,0.0,1.1155626191327915e-06,0.7649529905981196,139,13,3,2020,11,4,6,1,0
124,13,0.0,1.0,0.0,0.0,2.60297944464318e-06,0.20984196839367872,774,13,3,2020,11,4,6,1,0
125,18,0.10734463276836158,0.0,6.215850377022404e-07,0.0,3.5326149605871725e-06,0.02530506101220244,313,13,3,2020,11,4,6,1,0
126,30,0.005649717514124294,0.14285714285714285,0.0,0.0,5.577813095663957e-07,0.14332866573314662,310,13,3,2020,11,4,6,1,0
127,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.26405281056211244,322,13,3,2020,11,4,6,1,0
128,37,0.05649717514124294,0.07142857142857142,0.0,0.0,2.045198135076784e-06,0.8120624124824966,267,13,3,2020,11,4,6,1,0
129,19,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.27915583116623327,564,13,3,2020,11,4,6,1,0
130,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.3416683336667334,367,13,3,2020,11,4,6,1,0
131,15,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.836867373474695,420,13,3,2020,11,4,6,1,0
132,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.7695539107821564,270,13,3,2020,11,4,6,1,0
133,17,0.03389830508474576,0.0,0.0,1.2272046731953955e-05,1.1155626191327915e-06,0.38617723544708943,624,13,3,2020,11,4,6,1,0
134,22,0.0790960451977401,0.0,0.0,0.0,2.60297944464318e-06,0.3062612522504501,528,13,3,2020,11,4,6,1,0
135,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.45019003800760155,662,13,3,2020,11,4,6,1,0
136,10,0.03954802259887005,0.0,2.071950125674135e-07,1.2272046731953955e-05,1.30148972232159e-06,0.7745549109821964,613,14,3,2020,11,5,6,1,0
137,13,0.0,1.0,0.0,0.0,2.60297944464318e-06,0.38957791558311666,790,14,3,2020,11,5,6,1,0
138,18,0.10734463276836158,0.0,6.215850377022404e-07,0.0,3.5326149605871725e-06,0.0692138427685537,801,14,3,2020,11,5,6,1,0
139,30,0.005649717514124294,0.14285714285714285,2.071950125674135e-07,0.0,5.577813095663957e-07,0.9801960392078416,335,14,3,2020,11,5,6,1,0
140,34,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.9921984396879376,561,14,3,2020,11,5,6,1,0
141,37,0.06214689265536723,0.07142857142857142,1.0359750628370675e-06,0.0,2.231125238265583e-06,0.45519103820764156,470,14,3,2020,11,5,6,1,0
142,19,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.09821964392878575,444,14,3,2020,11,5,6,1,0
143,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.31896379275855175,548,14,3,2020,11,5,6,1,0
144,15,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.7646529305861173,570,14,3,2020,11,5,6,1,0
145,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.46709341868373677,101,14,3,2020,11,5,6,1,0
146,17,0.03389830508474576,0.0,0.0,1.2272046731953955e-05,1.1155626191327915e-06,0.9102820564112822,488,14,3,2020,11,5,6,1,0
147,22,0.0790960451977401,0.0,0.0,0.0,2.60297944464318e-06,0.024504900980196042,272,14,3,2020,11,5,6,1,0
148,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.18143628725745148,458,14,3,2020,11,5,6,1,0
149,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.09951990398079616,128,15,3,2020,11,6,6,1,0
150,10,0.03954802259887005,0.0,4.14390025134827e-07,1.2272046731953955e-05,1.30148972232159e-06,0.7801560312062412,557,15,3,2020,11,6,6,1,0
151,13,0.0,1.0,0.0,0.0,2.60297944464318e-06,0.4356871374274855,734,15,3,2020,11,6,6,1,0
152,17,0.03389830508474576,0.0,0.0,1.2272046731953955e-05,1.1155626191327915e-06,0.6278255651130227,720,15,3,2020,11,6,6,1,0
153,18,0.12429378531073446,0.0,6.215850377022404e-07,0.0,4.090396270153568e-06,0.7730546109221844,463,15,3,2020,11,6,6,1,0
154,22,0.1807909604519774,0.0,0.0,0.0,5.949667302041554e-06,0.4188837767553511,569,15,3,2020,11,6,6,1,0
155,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.6329265853170635,578,15,3,2020,11,6,6,1,0
156,30,0.011299435028248588,0.14285714285714285,6.215850377022404e-07,0.0,7.437084127551942e-07,0.353370674134827,448,15,3,2020,11,6,6,1,0
157,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.9061812362472494,442,15,3,2020,11,6,6,1,0
158,34,0.01694915254237288,0.0,2.071950125674135e-07,0.0,5.577813095663957e-07,0.3662732546509302,428,15,3,2020,11,6,6,1,0
159,15,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.8011602320464093,630,15,3,2020,11,6,6,1,0
160,19,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.5257051410282056,340,15,3,2020,11,6,6,1,0
161,37,0.06779661016949153,0.07142857142857142,8.28780050269654e-07,0.0,2.4170523414543814e-06,0.9000800160032006,397,15,3,2020,11,6,6,1,0
162,38,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.547609521904381,425,15,3,2020,11,6,6,1,0
163,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8300660132026405,639,16,3,2020,12,0,6,1,0
164,10,0.03954802259887005,0.0,4.14390025134827e-07,1.2272046731953955e-05,1.30148972232159e-06,0.4213842768553711,654,16,3,2020,12,0,6,1,0
165,13,0.0,1.0,0.0,0.0,2.60297944464318e-06,0.047109421884376876,466,16,3,2020,12,0,6,1,0
166,17,0.03389830508474576,0.0,0.0,1.2272046731953955e-05,1.1155626191327915e-06,0.745749149829966,472,16,3,2020,12,0,6,1,0
167,18,0.12994350282485875,0.0,6.215850377022404e-07,0.0,4.2763233733423665e-06,0.7646529305861173,379,16,3,2020,12,0,6,1,0
168,22,0.1807909604519774,0.0,0.0,0.0,5.949667302041554e-06,0.32526505301060216,392,16,3,2020,12,0,6,1,0
169,27,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.38757751550310066,1013,16,3,2020,12,0,6,1,0
170,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.7423484696939389,205,16,3,2020,12,0,6,1,0
171,30,0.011299435028248588,0.14285714285714285,6.215850377022404e-07,0.0,7.437084127551942e-07,0.38297659531906386,424,16,3,2020,12,0,6,1,0
172,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.45139027805561116,542,16,3,2020,12,0,6,1,0
173,34,0.01694915254237288,0.0,2.071950125674135e-07,0.0,5.577813095663957e-07,0.6003200640128026,706,16,3,2020,12,0,6,1,0
174,15,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.5007001400280057,643,16,3,2020,12,0,6,1,0
175,19,0.022598870056497175,0.0,0.0,0.0,7.437084127551942e-07,0.7757551510302061,440,16,3,2020,12,0,6,1,0
176,37,0.06779661016949153,0.07142857142857142,8.28780050269654e-07,0.0,2.4170523414543814e-06,0.3844768953790758,170,16,3,2020,12,0,6,1,0
177,38,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.33266653330666135,426,16,3,2020,12,0,6,1,0
178,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.17113422684536908,482,17,3,2020,12,1,6,1,0
179,10,0.04519774011299435,0.0,4.14390025134827e-07,1.2272046731953955e-05,1.4874168255103885e-06,0.6909381876375276,287,17,3,2020,12,1,6,1,0
180,13,0.005649717514124294,1.0,0.0,0.0,2.7889065478319784e-06,0.6726345269053811,720,17,3,2020,12,1,6,1,0
181,17,0.06214689265536723,0.0,0.0,1.2272046731953955e-05,2.045198135076784e-06,0.2491498299659932,697,17,3,2020,12,1,6,1,0
182,18,0.13559322033898305,0.14285714285714285,6.215850377022404e-07,0.0,4.834104682908763e-06,0.5746149229845969,595,17,3,2020,12,1,6,1,0
183,22,0.2033898305084746,0.21428571428571427,0.0,1.2272046731953955e-05,7.2511570243631434e-06,0.7797559511902381,434,17,3,2020,12,1,6,1,0
184,27,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.5355071014202841,577,17,3,2020,12,1,6,1,0
185,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.4153830766153231,469,17,3,2020,12,1,6,1,0
186,30,0.011299435028248588,0.14285714285714285,6.215850377022404e-07,0.0,7.437084127551942e-07,0.5623124624924986,649,17,3,2020,12,1,6,1,0
187,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.47749549909982,230,17,3,2020,12,1,6,1,0
188,34,0.01694915254237288,0.14285714285714285,2.071950125674135e-07,0.0,9.296355159439927e-07,0.34026805361072215,441,17,3,2020,12,1,6,1,0
189,15,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.25975195039007803,671,17,3,2020,12,1,6,1,0
190,19,0.03389830508474576,0.0,0.0,0.0,1.1155626191327915e-06,0.1909381876375275,836,17,3,2020,12,1,6,1,0
191,37,0.0790960451977401,0.07142857142857142,1.0359750628370675e-06,0.0,2.7889065478319784e-06,0.9099819963992799,575,17,3,2020,12,1,6,1,0
192,38,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.3406681336267254,546,17,3,2020,12,1,6,1,0
193,1,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.6571314262852571,462,18,3,2020,12,2,6,1,0
194,10,0.05084745762711865,0.07142857142857142,4.14390025134827e-07,1.2272046731953955e-05,1.8592710318879855e-06,0.8741748349669934,467,18,3,2020,12,2,6,1,0
195,13,0.01694915254237288,1.0,0.0,0.0,3.1607607542095755e-06,0.1812362472494499,513,18,3,2020,12,2,6,1,0
196,17,0.06214689265536723,0.0,0.0,1.2272046731953955e-05,2.045198135076784e-06,0.5291058211642329,721,18,3,2020,12,2,6,1,0
197,18,0.14124293785310735,0.14285714285714285,6.215850377022404e-07,0.0,5.020031786097561e-06,0.4991998399679936,244,18,3,2020,12,2,6,1,0
198,22,0.22033898305084745,0.21428571428571427,0.0,1.2272046731953955e-05,7.808938333929539e-06,0.18103620724144828,580,18,3,2020,12,2,6,1,0
199,27,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.10272054410882175,501,18,3,2020,12,2,6,1,0
200,28,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.33826765353070615,854,18,3,2020,12,2,6,1,0
201,29,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.4813962792558512,356,18,3,2020,12,2,6,1,0
202,30,0.011299435028248588,0.14285714285714285,6.215850377022404e-07,0.0,7.437084127551942e-07,0.6314262852570515,766,18,3,2020,12,2,6,1,0
203,32,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8364672934586918,605,18,3,2020,12,2,6,1,0
204,34,0.022598870056497175,0.14285714285714285,2.071950125674135e-07,0.0,1.1155626191327915e-06,0.04370874174834967,490,18,3,2020,12,2,6,1,0
205,15,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.03760752150430086,834,18,3,2020,12,2,6,1,0
206,19,0.04519774011299435,0.0,0.0,0.0,1.4874168255103885e-06,0.5477095419083817,603,18,3,2020,12,2,6,1,0
207,37,0.0847457627118644,0.07142857142857142,1.0359750628370675e-06,0.0,2.974833651020777e-06,0.7344468893778756,759,18,3,2020,12,2,6,1,0
208,38,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.9125825165033007,1004,18,3,2020,12,2,6,1,0
